User story: R2019-8317;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Explorer;;;;;;
Means;I would like a way to generate a route along all important landmarks within a city.;;;;;;
Ends;I would like to explore a new city, and at the moment I would have to search for these landmarks myself and insert them into Maps. It would be nicer if this could be done automatically.;;;myself = way route landmarks city;I;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-8560;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Explorer;;;;;;
Means;I would like a way to increase the size of street names without having to zoom in.;;;;;;
Ends;I do not want to zoom in and lose overview, but I have difficulty reading the street names.;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-5327;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Explorer;;;;;;
Means;I would like a visualisation of the areas where I have not been yet.;;;;;;
Ends;So I can explore new locations.;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-6800;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Explorer;;;;;;
Means;I would like an option to see which streets do or do not allow cars.;;;;;;
Ends;I like to bring my dog along on trips, so I need to know which streets do not allow cars, so my dog doesn't get scared.;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

User story: R2019-1078;Input;Detected Vagueness;Disambiguation of Vagueness;Detected referential ambiguity;Disambiguation of referential ambiguity;Old input;
Role;Explorer;;;;;;
Means;I would like a way to plot a route that avoids busy intersections and traffic lights.;;;;;;
Ends;These intersections and lights slow me down when I'm traveling by bike.;;;;;;
Requirement Type;new idea;;;;;;
Concerning feature;;;;;;;

